Drug Name,Side Effects,Age Category,Medical Condition
Atelvia,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Boniva,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Caltrate,"Constipation, upset stomach, gas","Adults , Elderly",Calcium supplement
Caltrate 600+D,"Constipation, upset stomach, gas","Adults , Elderly",Calcium and vitamin D supplement
Calcium / Vitamin D,"Constipation, upset stomach, gas","Adults  ,Elderly",Calcium and vitamin D supplement
Citracal + D,"Constipation, upset stomach, gas","Adults , Elderly",Calcium and vitamin D supplement
Denosumab,"Bone, muscle, or joint pain, skin rash",Adults,Osteoporosis prevention and treatment
Evenity,"Joint pain, headache, swelling",Adults,Osteoporosis prevention and treatment
Evista,"Hot flashes, leg cramps, joint pain",Adults,Osteoporosis prevention and treatment
Fosamax,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Forteo,"Joint pain, leg cramps, dizziness",Adults,Osteoporosis prevention and treatment
Ibandronate,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Premarin,"Nausea, headache, breast pain, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms
Prolia,"Back pain, skin rash, bladder infection, joint pain",Adults,Osteoporosis prevention and treatment
Raloxifene,"Hot flashes, leg cramps, joint pain, swelling",Adults,"Osteoporosis prevention and treatment, breast cancer risk"
Reclast,"Flu-like symptoms, bone pain, upset stomach, fever, headache",Adults,Osteoporosis prevention and treatment
Risedronate,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Aclasta,"Fever, muscle or joint pain, flu-like symptoms",Adults,Osteoporosis treatment
abaloparatide,"Nausea, headache, dizziness, leg cramps",Adults,Osteoporosis treatment
Alendronate,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Alendronate / Cholecalciferol,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Binosto,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Calcitrate with D,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Calcium Gluconate,"Upset stomach, nausea, vomiting",Adults,Calcium supplement
Calcium Lactate,"Upset stomach, constipation, gas",Adults,Calcium supplement
"Calcium Phosphate, Tribasic","Upset stomach, constipation, gas",Adults,Calcium supplement
Calcitonin,"Nose irritation, nosebleeds, flushing",Adults,Osteoporosis treatment
Cal-GLU,"Upset stomach, constipation, gas",Adults,Calcium supplement
Conjugated Estrogens,"Nausea, breast tenderness, headache",Adults,Hormone replacement therapy for menopausal symptoms
Fosamax,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Fosamax Plus D,"Upset stomach, bone and joint pain, headache",Adults,Osteoporosis prevention and treatment
Miacalcin,"Nose irritation, nosebleeds, flushing",Adults,Osteoporosis treatment
Os-Cal Calcium+D3,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Prempro,"Nausea, headache, breast pain, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms
Tymlos,"Nausea, dizziness, headache, fatigue",Adults,Osteoporosis treatment
Teriparatide,"Nausea, dizziness, headache, leg cramps",Adults,Osteoporosis treatment
Zoledronic Acid,"Flu-like symptoms, bone pain, upset stomach, fever, headache",Adults,Osteoporosis treatment
Zometa,"Flu-like symptoms, bone pain, upset stomach, fever, headache",Adults,"Cancer-related bone problems, hypercalcemia of malignancy"
Cal-Lac,"Upset stomach, constipation, gas",Adults,Calcium supplement
Calcitrate,"Upset stomach, constipation, gas",Adults,Calcium supplement
Conjugated Estrogens / Medroxyprogesterone,"Nausea, headache, breast tenderness, mood changes, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms
Duavee,"Nausea, headache, breast tenderness, mood changes, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms
Esterified Estrogens,"Nausea, breast tenderness, headache",Adults,Hormone replacement therapy for menopausal symptoms
Estropipate,"Nausea, breast tenderness, headache",Adults,Hormone replacement therapy for menopausal symptoms
Menest,"Nausea, breast tenderness, headache",Adults,Hormone replacement therapy for menopausal symptoms
Ogen,"Nausea, breast tenderness, headache",Adults,Hormone replacement therapy for menopausal symptoms
Os-Cal 500 Chewable,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Os-Cal Extra D3,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Oystercal-D,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Posture,"Upset stomach, constipation, gas",Adults,Calcium supplement
Premarin Intravenous,"Nausea, headache, breast pain, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms
Premphase,"Nausea, headache, breast pain, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms
Romosozumab,"Joint pain, headache, injection site reactions",Adults,Osteoporosis treatment
UPCal D,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Oxycodone,"Nausea, constipation, dizziness, drowsiness",Adults,Pain relief
Acetaminophen,"Nausea, stomach pain, allergic reactions",Adults,"Pain relief, fever reducer"
Hydrocodone,"Nausea, constipation, dizziness, drowsiness",Adults,Pain relief
Tylenol,"Nausea, stomach pain, allergic reactions",Adults,"Pain relief, fever reducer"
Tymlos,"Nausea, headache, dizziness, muscle pain",Adults,Treatment of osteoporosis in postmenopausal women at high risk of fracture
Aclasta,"Flu-like symptoms, fever, bone pain",Adults,Treatment of osteoporosis in postmenopausal women and men at high risk of fracture
Prempro,"Nausea, headache, breast tenderness, mood changes",Adults,Hormone replacement therapy for menopausal symptoms
Abaloparatide,"Nausea, dizziness, headache, injection site reactions",Adults,Treatment of postmenopausal women with osteoporosis at high risk of fracture
Calcitrate with D,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Calcium Gluconate,"Upset stomach, constipation, gas",Adults,Calcium supplement
Calcium Lactate,"Upset stomach, constipation, gas",Adults,Calcium supplement
"Calcium Phosphate, Tribasic","Upset stomach, constipation, gas",Adults,Calcium supplement
Conjugated Estrogens,"Nausea, breast tenderness, headache",Adults,Hormone replacement therapy for menopausal symptoms
Os-Cal Calcium+D3,"Upset stomach, constipation, gas",Adults,Calcium and vitamin D supplement
Bazedoxifene / Conjugated Estrogens,"Nausea, headache, breast tenderness, mood changes, vaginal bleeding",Adults,Hormone replacement therapy for menopausal symptoms and prevention of postmenopausal osteoporosis
Methadone,"Drowsiness, constipation, nausea, sweating",Adults,Treatment of opioid dependence and management of severe pain
Acetaminophen / Hydrocodone,"Drowsiness, constipation, nausea, lightheadedness",Adults,Relief of moderate to severe pain
Dilaudid,"Drowsiness, constipation, nausea, itching",Adults,Relief of moderate to severe pain
Buprenorphine,"Nausea, vomiting, constipation, headache",Adults,Treatment of opioid dependence and management of moderate to severe pain
OxyContin,"Drowsiness, constipation, nausea, itching",Adults,Management of chronic pain
Buprenex,"Nausea, vomiting, constipation, headache",Adults,Relief of moderate to severe pain
Percocet,"Drowsiness, constipation, nausea, lightheadedness",Adults,Relief of moderate to severe pain
Paracetamol (Acetaminophen),"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Ketorolac,"Upset stomach, bleeding (with long-term use), kidney problems",Adults,Short-term treatment of moderate to severe pain
Ultram,"Drowsiness, constipation, nausea, headache",Adults,Relief of moderate to moderately severe pain
Acetaminophen / Oxycodone,"Drowsiness, constipation, nausea, lightheadedness",Adults,Relief of moderate to severe pain
Demerol,"Drowsiness, constipation, nausea, sweating",Adults,Relief of moderate to severe pain
Nucynta,"Nausea, constipation, dizziness, headache",Adults,Relief of moderate to severe acute pain
Hydromorphone,"Drowsiness, constipation, nausea, itching",Adults,Relief of moderate to severe pain
Roxicodone,"Drowsiness, constipation, nausea, lightheadedness",Adults,Relief of moderate to severe pain
Tylenol Arthritis Pain,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of arthritis pain
Morphine,"Drowsiness, constipation, nausea, itching",Adults,Relief of moderate to severe pain
Fentanyl Transdermal System,"Drowsiness, constipation, nausea, dizziness",Adults,Management of chronic pain
Pregabalin,"Dizziness, drowsiness, weight gain, blurred vision",Adults,"Treatment of neuropathic pain, fibromyalgia, and certain types of seizures"
Acetaminophen / Tramadol,"Drowsiness, constipation, nausea, lightheadedness",Adults,Relief of moderate to moderately severe pain
Hydrocodone / Ibuprofen,"Drowsiness, constipation, nausea, upset stomach",Adults,Relief of moderate to severe pain
Fentanyl,"Drowsiness, constipation, nausea, vomiting, dizziness",Adults,Management of chronic pain
Oxymorphone,"Drowsiness, constipation, nausea, vomiting, headache",Adults,Relief of moderate to severe pain
Tapentadol,"Drowsiness, constipation, nausea, vomiting, dizziness",Adults,Relief of moderate to severe pain
Tylenol 8 Hour,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Altenol,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Arthritis Pain Relief,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of arthritis pain
Feverall,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Reduction of fever in children
Flector Patch,"Skin irritation, rash",Adults,"Relief of acute pain due to minor strains, sprains, and bruises"
Mapap,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Meperidine,"Drowsiness, constipation, nausea, vomiting, confusion",Adults,Relief of moderate to severe pain
MS Contin,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
7T Gummy ES Chewable Tablets,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Abenol,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Acephen,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Actamin,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Actimol Children's,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Actimol Infant,"Upset stomach, liver toxicity (with high doses or long-term use)",Infants,Relief of mild to moderate pain and reduction of fever
Advil Children's,"Upset stomach, dizziness, rash",Child,Relief of mild to moderate pain and reduction of fever
Advil Infant's Concentrated Drops,"Upset stomach, dizziness, rash",Infants,Relief of mild to moderate
Advil Migraine,"Upset stomach, dizziness, rash",Adults,Relief of migraine headaches
Aminofen,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Anacin Aspirin Free,"Upset stomach, dizziness, rash",Adults,Relief of mild to moderate pain and reduction of fever
Apra,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Atasol,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Aurophen,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Caldolor,"Upset stomach, dizziness, rash",Adults,Relief of mild to moderate pain and reduction of fever
Cetafen,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Children's Motrin,"Upset stomach, dizziness, rash",Child,Relief of mild to moderate pain and reduction of fever
Children's Silapap,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Children's Tylenol,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
ConZip,"Upset stomach, drowsiness, constipation",Adults,Relief of moderate to severe pain
Dolono,"Upset stomach, dizziness, rash",Adults,Relief of mild to moderate pain and reduction of fever
Duragesic,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
Febrol Solution,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Genapap,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Genebs,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Infant's Tylenol,"Upset stomach, liver toxicity (with high doses or long-term use)",Infants,Relief of mild to moderate pain and reduction of fever
Jr. Tylenol,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Kadian,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
M-Pap,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Mapap Arthritis Pain,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of arthritis pain and reduction of fever
Motrin Childrens,"Upset stomach, dizziness, rash",Child,Relief of mild to moderate pain and reduction of fever
Motrin Junior Strength,"Upset stomach, dizziness, rash",Child,Relief of mild to moderate pain and reduction of fever
Nortemp Children's,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Nucynta ER,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of moderate to severe pain
Ofirmev,"Upset stomach, dizziness, rash",Adults,Relief of mild to moderate pain and reduction of fever
Pharbetol,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Qdolo,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Relief of moderate to severe pain
Silapap Childrens,"Upset stomach, liver toxicity (with high doses or long-term use)",Child,Relief of mild to moderate pain and reduction of fever
Tactinal,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Tempra Quicklets,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Tycolene,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Tylophen,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Ultracet,"Upset stomach, drowsiness, constipation",Adults,Relief of moderate to severe pain
Vitapap,"Upset stomach, liver toxicity (with high doses or long-term use)",Adults,Relief of mild to moderate pain and reduction of fever
Actiq,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of breakthrough cancer pain
Anjeso,"Upset stomach, dizziness, rash",Adults,Relief of mild to moderate pain
Dazidox,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of moderate to severe pain
ETH-Oxydose,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of moderate to severe pain
Hysingla ER,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
Oxaydo,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of acute pain
Oxydose,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of moderate to severe pain
Oxyfast,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of acute pain
RoxyBond,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of acute pain
Xtampza ER,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
Zipsor,"Upset stomach, dizziness, rash",Adults,Relief of mild to moderate pain and reduction of inflammation
Aloe Vera Burn Relief Spray,"Skin irritation, allergic reactions",Adults,Relief of minor burns and sunburns
AneCream,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Anestacon,"Skin irritation, allergic reactions",Adults,Local anesthesia for various medical procedures
Astero,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Astramorph PF,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of moderate to severe pain
Bactine,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from minor cuts and scrapes
Belbuca,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
Biofreeze,"Skin irritation, allergic reactions",Adults,Topical pain relief for muscle and joint pain
Butorphanol,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of moderate to severe pain
Butrans,"Drowsiness, constipation, nausea, vomiting, itching",Adults,Management of chronic pain
CidalEaze,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
DermacinRx Lidotral,"Skin irritation, allergic reactions",Adults,Topical anesthesia for various medical procedures
DermacinRx Lido V Pak,"Skin irritation, allergic reactions",Adults,Topical anesthesia for various medical procedures
Diphenhydramine,"Drowsiness, dry mouth, dizziness",Adults,"Relief of allergy symptoms, insomnia, and motion sickness"
Duraclon,"Decreased blood pressure, dizziness, sedation",Adults,Management of severe chronic pain
Duramorph,"Respiratory depression, dizziness, sedation",Adults,Management of severe acute or chronic pain
Duramorph PF,"Respiratory depression, dizziness, sedation",Adults,Management of severe acute or chronic pain
Eha Lotion,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Fentora,"Drowsiness, nausea, vomiting, constipation",Adults,Management of breakthrough cancer pain
Infumorph,"Respiratory depression, dizziness, sedation",Adults,Management of severe chronic pain
Itch Relief,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from insect bites and skin irritations
Levorphanol,"Drowsiness, nausea, vomiting, constipation",Adults,Management of severe chronic pain
LidaMantle,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Lidopac,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
LidoRx,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Lidotrans 5 Pak,"Skin irritation, allergic reactions",Adults,Topical anesthesia for various medical procedures
Lidozion,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
LMX 4,"Skin irritation, allergic reactions",Adults,"Topical pain relief for minor cuts, scrapes, and burns"
LMX 5,"Skin irritation, allergic reactions",Adults,"Topical pain relief for minor cuts, scrapes, and burns"
Lydexa,"Drowsiness, dry mouth, dizziness",Adults,Relief of allergy symptoms and motion sickness
Medi-Quik Spray,"Skin irritation, allergic reactions",Adults,"Topical pain relief for minor cuts, scrapes, and burns"
Mefenamic acid,"Upset stomach, abdominal pain",Adults,"Relief of pain and inflammation, including menstrual pain"
Methadone Diskets,"Drowsiness, constipation, nausea, vomiting",Adults,Management of moderate to severe chronic pain
Methadose,"Drowsiness, constipation, nausea, vomiting",Adults,Maintenance treatment of opioid dependence
Mitigo,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Moxicaine,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Nalbuphine,"Nausea, vomiting, dizziness",Adults,Management of moderate to severe pain
RadiaGuard,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from radiation dermatitis
RectiCare,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from hemorrhoids and other anorectal disorders
Regenecare HA Spray,"Skin irritation, allergic reactions",Adults,Topical pain relief and wound care
Sprix,"Nasal irritation, headache",Adults,Relief of moderate to severe acute pain
Topicaine,"Skin irritation, allergic reactions",Adults,Topical anesthesia for various medical procedures
Tranzarel,"Drowsiness, dry mouth, dizziness",Adults,Relief of allergy symptoms and motion sickness
Xylocaine Topical,"Skin irritation, allergic reactions",Adults,Topical anesthesia and relief of pain
Zionodil,"Skin irritation, allergic reactions",Adults,Relief of pain and itching from various skin conditions
Acetaminophen / benzhydrocodone,"Drowsiness, constipation, nausea, vomiting",Adults,Relief of moderate to severe pain
Acetaminophen / caffeine / dihydrocodeine,"Upset stomach, dizziness, drowsiness, constipation",Adults,Relief of pain and tension headaches
Acetaminophen / ibuprofen,"Upset stomach, heartburn, dizziness",Adults,Relief of pain and fever
Acetaminophen / phenyltoloxamine / salicylamide,"Upset stomach, drowsiness, dizziness",Adults,Relief of pain and fever
ActivICE,"Skin irritation, allergic reactions",Adults,"Topical pain relief for minor cuts, scrapes, and burns"
Alfentanil,"Drowsiness, respiratory depression, nausea",Adults,Short-term management of anesthesia during surgery
Alka-Seltzer Wake-Up Call!,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and hangover symptoms
Anacin,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
Anbesol,"Temporary numbing of the mouth, irritation",Adults,Relief of oral pain and discomfort
Apadaz,"Drowsiness, constipation, nausea, vomiting",Adults,Relief of moderate to severe acute pain
Arctic Relief,"Cooling sensation, skin irritation",Adults,Relief of minor aches and pains
Aspercreme Max No Mess Roll-On,Skin irritation,Adults,Topical pain relief for minor aches and pains
Aspercreme Pain Relieving Heat Gel,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Aspirin / caffeine / dihydrocodeine,"Upset stomach, dizziness, drowsiness",Adults,Relief of pain and tension headaches
Aspirin / caffeine,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
Aspirin / carisoprodol / codeine,"Drowsiness, constipation, nausea, vomiting",Adults,Relief of pain and discomfort associated with muscle spasms
Aspirin / oxycodone,"Drowsiness, constipation, nausea, vomiting",Adults,Relief of moderate to severe acute pain
Back & Body Extra Strength,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
Bayer Back & Body,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
Bayer Extra Strength Back & Body,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
BC Arthritis,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
BC Fast Pain Relief,"Upset stomach, heartburn, drowsiness",Adults,Relief of pain and fever
Bengay Cold Therapy Gel,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Bengay Ultra Strength Pain Relieving Patch,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Bengay Vanishing Scent,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Bengay Zero Degrees,"Cooling sensation, skin irritation",Adults,Topical pain relief for minor aches and pains
Benzo-Jel,"Skin irritation, allergic reactions",Adults,"Topical pain relief for minor cuts, scrapes, and burns"
Benzocaine,"Temporary numbing of the skin, skin irritation",Adults,Temporary relief of pain and itching associated with minor skin irritations and burns
Bio-Therm Pain Relieving Lotion,Skin irritation,Adults,Topical pain relief for minor aches and pains
"Blue-Emu Maximum Strength Arthritis, Muscle & Joint Pain Relief","Skin irritation, allergic reactions",Adults,"Topical pain relief for arthritis, muscle, and joint pain"
Blue Gel,Skin irritation,Adults,Topical pain relief for minor aches and pains
Bupivacaine liposome,"Numbness, tingling, temporary muscle weakness",Adults,Local anesthesia for surgical and medical procedures
Capsagel Extra Strength,Skin irritation,Adults,Topical pain relief for minor aches and pains
Capsaicin / diclofenac,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Capsaicin / lidocaine / menthol / methyl salicylate,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Capsaicin / menthol / methyl salicylate,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Capsinac,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Celecoxib / tramadol,"Upset stomach, dizziness, drowsiness",Adults,Relief of moderate to severe pain associated with arthritis or other conditions
Cepacol Fizzlers,"Upset stomach, allergic reactions",Adults,Relief of sore throat and mouth pain
Chiggerex,Skin irritation,Adults,Relief of itching and discomfort caused by chigger bites
Cool 'n Heat Patch,Skin irritation,Adults,Topical pain relief for minor aches and pains
Cope,Skin irritation,Adults,Topical pain relief for minor aches and pains
Dendracin Neurodendraxcin,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Denti-Care Denti-Freeze,"Numbness, temporary discomfort of the mouth",Adults,Temporary relief of toothache
DermacinRx Lexitral,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
DermacinRx Lexitral PharmaPak,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Dermoplast,Skin irritation,Adults,"Topical pain relief for minor cuts, scrapes, and burns"
Diclofex DC,"Upset stomach, heartburn, dizziness",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Dicloheal-60,"Upset stomach, heartburn, dizziness",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Diclosaicin,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Diclotral Pak,"Upset stomach, heartburn, dizziness",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Doan's Pills,"Upset stomach, allergic reactions",Adults,"Relief of backache, muscle pain, and minor aches and pains"
Doan's Pills Extra Strength,"Upset stomach, allergic reactions",Adults,"Relief of backache, muscle pain, and minor aches and pains"
Dsuvia,"Nausea, vomiting, dizziness",Adults,Prescription opioid pain medication for acute pain management
Duraxin,Skin irritation,Adults,Topical pain relief for minor aches and pains
Dvorah,Skin irritation,Adults,Topical pain relief for minor aches and pains
Dyclonine,"Numbness, tingling",Adults,Topical anesthetic for temporary relief of minor pain and discomfort
Ed-Flex,"Upset stomach, heartburn, dizziness",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Endodan,"Upset stomach, dizziness, drowsiness",Adults,Relief of moderate to severe pain
Exoten-C Pain Relief,"Upset stomach, heartburn, dizziness",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Exparel,"Numbness, temporary muscle weakness",Adults,Local anesthesia for surgical procedures
Flexall,Skin irritation,Adults,Topical pain relief for minor aches and pains
Gebauer's Spray and Stretch,"Skin irritation, temporary numbness",Adults,Topical pain relief and muscle stretching for musculoskeletal conditions
Gold Bond Medicated Maximum Strength Foot,Skin irritation,Adults,Topical pain relief for foot discomfort and minor aches and pains
Icy Hot Advanced Relief Pain Relief Patch,Skin irritation,Adults,Topical pain relief for minor aches and pains
Icy Hot Extra Strength,Skin irritation,Adults,Topical pain relief for minor aches and pains
Icy Hot Medicated Spray,Skin irritation,Adults,Topical pain relief for minor aches and pains
Icy Hot Vanishing Scent Pain Relieving Gel,Skin irritation,Adults,Topical pain relief for minor aches and pains
Inavix,Skin irritation,Adults,Topical pain relief for minor aches and pains
Kank-a,Temporary numbing sensation,Adults,Topical relief of oral pain and irritation
Lanacane,"Skin irritation, rash",Adults,Topical pain relief for minor skin irritations
Laryngesic,Temporary numbing sensation,Adults,Topical relief of throat pain and irritation
LidoPro,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Magnesium Salicylate,"Upset stomach, heartburn",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Max-Freeze,"Skin irritation, cold sensation",Adults,Topical pain relief for minor aches and pains
Medi-Derm Rx,"Skin irritation, itching",Adults,Topical relief of itching and discomfort
Medicone,Skin irritation,Adults,Topical pain relief for minor aches and pains
Medrox,"Upset stomach, heartburn",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Medrox-Rx,"Upset stomach, heartburn",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Menthol,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
Meperitab,"Drowsiness, dizziness",Adults,Relief of moderate to severe pain
Mineral Ice,"Skin irritation, cold sensation",Adults,Topical pain relief for minor aches and pains
MST,"Drowsiness, constipation",Adults,Relief of moderate to severe pain
Nalocet,"Drowsiness, constipation",Adults,Relief of moderate to severe pain
Naloxone / Pentazocine,"Nausea, vomiting, dizziness",Adults,Prescription opioid pain medication for moderate to severe pain
New Terocin,"Skin irritation, burning sensation",Adults,Topical pain relief for minor aches and pains
NuDiclo SoluPak,"Upset stomach, heartburn",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Nuprin Backache,"Upset stomach, heartburn",Adults,Relief of back pain
Oliceridine,"Nausea, constipation, dizziness",Adults,Prescription opioid pain medication for moderate to severe pain
Olinvyk,"Nausea, constipation, dizziness",Adults,Prescription opioid pain medication for moderate to severe pain
P-A-C,"Upset stomach, heartburn",Adults,Relief of pain and inflammation associated with arthritis or other conditions
P-A-C Analgesic,"Upset stomach, heartburn",Adults,Relief of pain and inflammation associated with arthritis or other conditions
Pentafluoropropane / Tetrafluoroethane,"Cold sensation, skin irritation",Adults,Topical pain relief for minor aches and pains
